clean_word,chinese,japanese,log_odds
you,1,0,1.054160526097276
please,1,0,1.054160526097276
tasted,1,0,1.054160526097276
food,1,0,1.054160526097276
disgusting,1,0,1.054160526097276
plus,1,0,1.054160526097276
hair,1,0,1.054160526097276
life,1,0,1.054160526097276
negative,1,0,1.054160526097276
beg,1,0,1.054160526097276
strand,1,0,1.054160526097276
chinese,1,0,1.054160526097276
worst,1,0,1.054160526097276
rice,1,0,1.054160526097276
found,1,0,1.054160526097276
reviews,1,0,1.054160526097276
believe,1,0,1.054160526097276
place,1,0,1.054160526097276
ever,1,0,1.054160526097276
staff,0,1,-0.3321338350226148
legitimately,0,1,-0.3321338350226148
sushi,0,1,-0.3321338350226148
surprised,0,1,-0.3321338350226148
perfect,0,1,-0.3321338350226148
tuna,0,1,-0.3321338350226148
hamachi,0,1,-0.3321338350226148
baked,0,1,-0.3321338350226148
lots,0,1,-0.3321338350226148
actually,0,1,-0.3321338350226148
kani,0,1,-0.3321338350226148
mood,0,1,-0.3321338350226148
yum,0,1,-0.3321338350226148
toro,0,1,-0.3321338350226148
instead,0,1,-0.3321338350226148
teriyaki,0,1,-0.3321338350226148
delicious,0,1,-0.3321338350226148
youre,0,1,-0.3321338350226148
felt,0,1,-0.3321338350226148
loved,0,1,-0.3321338350226148
yumspicy,0,1,-0.3321338350226148
jalapeoloved,0,1,-0.3321338350226148
akira,0,1,-0.3321338350226148
greatnessgreat,0,1,-0.3321338350226148
morevolcano,0,1,-0.3321338350226148
friendly,0,1,-0.3321338350226148
across,0,1,-0.3321338350226148
want,0,1,-0.3321338350226148
wasnt,0,1,-0.3321338350226148
like,0,1,-0.3321338350226148
indoor,0,1,-0.3321338350226148
parkingbig,0,1,-0.3321338350226148
better,0,1,-0.3321338350226148
location,0,1,-0.3321338350226148
yama,0,1,-0.3321338350226148
seatingthe,0,1,-0.3321338350226148
cute,0,1,-0.3321338350226148
chicken,0,1,-0.3321338350226148
shocked,0,1,-0.3321338350226148
well,0,1,-0.3321338350226148
regular,0,1,-0.3321338350226148
grilledtom,0,1,-0.3321338350226148
fan,0,1,-0.3321338350226148
outdoor,0,1,-0.3321338350226148
parking,0,1,-0.3321338350226148
also,0,1,-0.3321338350226148
garage,0,1,-0.3321338350226148
pleasantly,0,1,-0.3321338350226148
almost,0,1,-0.3321338350226148
spicy,0,2,-0.7375989431307792
back,0,2,-0.7375989431307792
soup,0,2,-0.7375989431307792
roll,0,2,-0.7375989431307792
street,0,2,-0.7375989431307792
